"District","Block","Panchayat","Work_Code","Mustroll_No","Mustroll_Link","Persondays"
"BASTI","BAHADURPUR","BENIPUR","3153012009/RC/958486255823584823","9742","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BENIPUR&panchayat_code=3153012009&fin_year=2025-2026&source=&work_code=3153012009/RC/958486255823584823&msr_no=9742&AttendanceDate=27/03/2026&Digest=xdsqVmCZI/9MxU0QZfHZmg",9
"BASTI","BAHADURPUR","BHELWAL","3153012010/RC/958486255823596094","9760","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BHELWAL&panchayat_code=3153012010&fin_year=2025-2026&source=&work_code=3153012010/RC/958486255823596094&msr_no=9760&AttendanceDate=27/03/2026&Digest=SYQeJqLypPBoAGwUvYbQuA",5
"BASTI","BAHADURPUR","BHELWAL","3153012010/RC/958486255823725475","9895","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BHELWAL&panchayat_code=3153012010&fin_year=2025-2026&source=&work_code=3153012010/RC/958486255823725475&msr_no=9895&AttendanceDate=27/03/2026&Digest=eFfNKgr5csOyF/Z6xZqD7Q",8
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/RC/958486255823733300","9808","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/RC/958486255823733300&msr_no=9808&AttendanceDate=27/03/2026&Digest=l4IaVPndIULoBl0Ph6/Jfw",8
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/RC/958486255823744198","9802","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/RC/958486255823744198&msr_no=9802&AttendanceDate=27/03/2026&Digest=cM9DAsowRT3aozbe+FClHA",2
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/RC/958486255823744198","9811","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/RC/958486255823744198&msr_no=9811&AttendanceDate=27/03/2026&Digest=5AsI3ygCDA4O3wWwwlrW+A",6
"BASTI","BAHADURPUR","KALWARI MUSTAKHAM","3153012030/RC/958486255823585693","9777","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=KALWARI%20MUSTAKHAM&panchayat_code=3153012030&fin_year=2025-2026&source=&work_code=3153012030/RC/958486255823585693&msr_no=9777&AttendanceDate=27/03/2026&Digest=bUZZHT1HRnXo6AAZjVf6Gw",3
"BASTI","BAHADURPUR","KAMRIHA","3153012031/IC/958486255823711085","9784","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=KAMRIHA&panchayat_code=3153012031&fin_year=2025-2026&source=&work_code=3153012031/IC/958486255823711085&msr_no=9784&AttendanceDate=27/03/2026&Digest=XFJxUF8eOmOhrmS5t2FAng",4
"BASTI","BAHADURPUR","NIRANJAN PUR","3153012055/RC/958486255823672554","9879","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=NIRANJAN%20PUR&panchayat_code=3153012055&fin_year=2025-2026&source=&work_code=3153012055/RC/958486255823672554&msr_no=9879&AttendanceDate=27/03/2026&Digest=8F6zNzQ6mUuiGX37FXjK1Q",9
"BASTI","BAHADURPUR","NRAYANPUR","3153012056/RC/958486255823733814","9869","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=NRAYANPUR&panchayat_code=3153012056&fin_year=2025-2026&source=&work_code=3153012056/RC/958486255823733814&msr_no=9869&AttendanceDate=27/03/2026&Digest=HcPJwMJk6r+T9MVrSEJK2Q",1
